﻿Kód;Název ulice;Kód Obce;Název Obce;Kód Okresu;Název Okresu
25518;Kapucínské náměstí;582786;Brno;3702;Brno-město
25526;Kladivova;582786;Brno;3702;Brno-město
25534;Klajdovská;582786;Brno;3702;Brno-město
25542;Klatovská;582786;Brno;3702;Brno-město
25551;Klácelova;582786;Brno;3702;Brno-město
25569;Klášterského;582786;Brno;3702;Brno-město
25577;Klecandova;582786;Brno;3702;Brno-město
25585;Kleštínek;582786;Brno;3702;Brno-město
25593;Klicperova;582786;Brno;3702;Brno-město
25607;Klidná;582786;Brno;3702;Brno-město
25615;Zábrdovická;582786;Brno;3702;Brno-město
25623;Klimešova;582786;Brno;3702;Brno-město
25631;Klíčova;582786;Brno;3702;Brno-město
25640;Klímova;582786;Brno;3702;Brno-město
25658;Klíny;582786;Brno;3702;Brno-město
25666;Klobásova;582786;Brno;3702;Brno-město
25674;Klobouček;582786;Brno;3702;Brno-město
25682;Kluchova;582786;Brno;3702;Brno-město
25691;Klusáčkova;582786;Brno;3702;Brno-město
25704;Kmochova;582786;Brno;3702;Brno-město
25712;Kneslova;582786;Brno;3702;Brno-město
25721;Kniesova;582786;Brno;3702;Brno-město
25739;Kobližná;582786;Brno;3702;Brno-město
25747;Kociánka;582786;Brno;3702;Brno-město
25755;Karáskovo náměstí;582786;Brno;3702;Brno-město
25763;Kocourkova;582786;Brno;3702;Brno-město
25771;Kohoutova;582786;Brno;3702;Brno-město
25780;Kohoutovická;582786;Brno;3702;Brno-město
25798;Kolaříkova;582786;Brno;3702;Brno-město
25801;Koláčkova;582786;Brno;3702;Brno-město
25810;Kolejní;582786;Brno;3702;Brno-město
25828;Koliště;582786;Brno;3702;Brno-město
25836;Kolískova;582786;Brno;3702;Brno-město
25844;Kollárova;582786;Brno;3702;Brno-město
25852;U pošty;582786;Brno;3702;Brno-město
25861;Kepákova;582786;Brno;3702;Brno-město
25879;Komárovská;582786;Brno;3702;Brno-město
25887;Komínská;582786;Brno;3702;Brno-město
25895;Ke Svratce;582786;Brno;3702;Brno-město
25909;Kikrleho;582786;Brno;3702;Brno-město
25917;Komprdova;582786;Brno;3702;Brno-město
25925;Konečného;582786;Brno;3702;Brno-město
25933;Konopná;582786;Brno;3702;Brno-město
25941;Kobylín;582786;Brno;3702;Brno-město
25950;Komárovské nábřeží;582786;Brno;3702;Brno-město
25968;Konradova;582786;Brno;3702;Brno-město
25976;Kopaniny;582786;Brno;3702;Brno-město
25984;Kopečná;582786;Brno;3702;Brno-město
25992;Korejská;582786;Brno;3702;Brno-město
26000;Valašská;582786;Brno;3702;Brno-město
26018;Kořenského;582786;Brno;3702;Brno-město
26026;Kosatcová;582786;Brno;3702;Brno-město
26034;Komenského náměstí;582786;Brno;3702;Brno-město
26042;Kosíkova;582786;Brno;3702;Brno-město
26051;Kosmákova;582786;Brno;3702;Brno-město
26069;Kostelíček;582786;Brno;3702;Brno-město
26077;Kostelní zmola;582786;Brno;3702;Brno-město
26085;Košinova;582786;Brno;3702;Brno-město
26093;Košťálová;582786;Brno;3702;Brno-město
26107;Košuličova;582786;Brno;3702;Brno-město
26115;Kotěrova;582786;Brno;3702;Brno-město
26123;Kotkova;582786;Brno;3702;Brno-město
26131;Kotlářská;582786;Brno;3702;Brno-město
26140;Kotulánova;582786;Brno;3702;Brno-město
26158;Kounicova;582786;Brno;3702;Brno-město
26166;Koutného;582786;Brno;3702;Brno-město
26174;Kouty;582786;Brno;3702;Brno-město
26182;Kovařovicova;582786;Brno;3702;Brno-město
26191;Kovácká;582786;Brno;3702;Brno-město
26204;Kovárenská;582786;Brno;3702;Brno-město
26212;Kovářská;582786;Brno;3702;Brno-město
26221;Kozákova;582786;Brno;3702;Brno-město
26239;Kozinova;582786;Brno;3702;Brno-město
